City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,nova sintra,14.8667,-24.7167,22.64,73,20,5.45,CV,1694971333
336,rize,40.9044,40.8949,8.85,93,91,0.75,TR,1694971333
337,ipilan,8.8431,117.9033,26.38,86,15,1.74,PH,1694971333
338,ain sefra,32.75,-0.5833,31.82,11,100,4.11,DZ,1694971334
339,tsiombe,-25.3,45.4833,21.98,84,0,2.67,MG,1694971334
340,morondava,-20.2833,44.2833,25.23,80,7,6.87,MG,1694971334
341,cold lake,54.4502,-110.2017,17.97,63,40,2.57,CA,1694971334
342,el reten,10.6114,-74.2682,34.11,46,100,1.12,CO,1694971335
343,afaahiti,-17.75,-149.2833,23.93,88,52,5.8,PF,1694971335
344,cassilandia,-19.1133,-51.7342,38.48,17,16,3.02,BR,1694971335
345,gao,16.6362,1.637,38.73,19,80,3.03,ML,1694971270
346,jianguang,28.1938,115.7836,24.95,89,10,1.91,CN,1694971335
347,malmberget,67.1753,20.6549,6.31,61,0,4.12,SE,1694971336
348,khandyga,62.6667,135.6,1.91,97,100,2.22,RU,1694971336
349,sheridan,44.8333,-106.9173,28.51,29,0,2.06,US,1694971336
350,kameoka,35.0,135.5833,26.49,80,1,0.16,JP,1694971336
351,ostersund,63.1792,14.6357,9.25,66,0,1.79,SE,1694971337
352,lyubymivka,46.8106,33.5686,20.14,44,0,4.74,UA,1694971337
353,dali,25.7,100.1833,16.88,84,66,1.69,CN,1694971337
354,mahroni,24.5862,78.7288,23.25,90,21,5.19,IN,1694971337
355,arauca,7.0847,-70.7591,29.37,74,98,1.62,CO,1694971338
356,biltine,14.5333,20.9167,34.28,20,3,1.89,TD,1694971338
357,lazaro cardenas,17.9583,-102.2,27.82,76,99,1.47,MX,1694971338
358,saint-francois,46.4154,3.9054,23.69,73,82,3.6,FR,1694971338
359,odienne,9.51,-7.5692,24.5,90,99,2.35,CI,1694971339
360,yel'nya,54.5786,33.1837,11.99,76,16,2.81,RU,1694971339
361,loreto,22.2667,-101.9667,23.77,36,50,3.55,MX,1694971339
362,xai-xai,-25.0519,33.6442,20.1,67,59,5.48,MZ,1694971340
363,berdigestyakh,62.0989,126.6992,1.2,88,100,1.83,RU,1694971340
364,mount pearl,47.5166,-52.7813,25.19,80,75,6.17,CA,1694971340
